title;label;label_score
Niatnya Belajar Anti Korupsi, Ternyata Kantin Kejujuran Banyak yang Bangkrut;non-clickbait;0
Rotasi Bumi Melambat, Gempa Besar Bakal Semakin Sering Terjadi;non-clickbait;0
Keputusan Menteri BUMN Bikin Krakatau Steel Rugi Trilyunan Rupiah;non-clickbait;0
Mobil Mewah Tabrak dan Lindas Sepmor di Jalan Ahmad Yani Medan;non-clickbait;0
Menikmati Eksotisnya Sungai Berdinding Batu Raksasa di Tarean, Sergai;non-clickbait;0
Terkait Pria Ancam Bunuh Anies dan HRS, Polisi : Belum Ada yang Melaporkan;non-clickbait;0
Berdasarkan Info dari Kementrian, Polda Aceh Sita 11,8 Ton Bibit Padi Munirwan;non-clickbait;0
Kemenag : Pasangan yang Mau Nikah, Harus Dites Narkoba;non-clickbait;0
Warga Medan Labuhan Tertimpa Pohon di Jalan Imam Bonjol;non-clickbait;0
54 Pabrik Tutup, 64 Ribu Pengangguran Tercipta, Pemerintah : Karena Upah Terlalu Tinggi;non-clickbait;0
Ketua Dewan Komisioner OJK : Kalau Semua Pemuda Jadi PNS, Negara Rugi;non-clickbait;0
Kepling Hingga Camat Cuek, Nenek Renta dan Lumpuh Datangi Disdukcapil Medan, Mau Buat eKTP;non-clickbait;0
5,2 Juta Penerima Bantuan BPJS Dihapus, Iuran BPJS Bakal Dinaikkan;non-clickbait;0
Truk Angkut Tanah Menimpa Sigra, Hanya 1 Balita yang Selamat;non-clickbait;0
Kementan : Penangkapan Petani Aceh Sudah Tepat, Demi Melindungi Petani Juga;non-clickbait;0
Di Depan Presiden, Khatib Shalat Id Ceramah Tentang Utang dan Mendustakan Agama;non-clickbait;0
Supermarket Pertama di Medan Diambil Alih Pemko, Setelah Puluhan Tahun Jadi Markas OKP;non-clickbait;0
Kebakaran di Marelan, Bocah Meninggal Gara-gara Terkunci di Kamar;non-clickbait;0
Intel Kodim 1804 Sorong Tangkap Oknum TNI Penjual Amunisi ke KKSB OPM;non-clickbait;0
Begal Bersajam di Bandar Setia Tewas Setelah Ditunjang Korbannya;non-clickbait;0
Keluarga Mbah Moen Minta HRS Menjadi Imam Sholat dan Doa di Pemakaman;non-clickbait;0
Pilkada Medan Diisi Tokoh Muda, Dari Menantu Jokowi Hingga Timses Prabowo;non-clickbait;0
Gugatan Gerindra Dikabulkan, MK Perintahkan KPU Hitung Ulang;non-clickbait;0
Hari Pertama Operasi Patuh Toba 2019, Sudah Terjaring 1828 Pelanggaran;non-clickbait;0
Diserbu dan Dikepung Ribuan KKSB, 1 Anggota TNI Wafat, 5 Polisi Cedera;non-clickbait;0
MUI Sumut Buka Suara, Bolu Meranti Belum Penuhi Syarat Standar Jaminan Halal;non-clickbait;0
Pemerasan Modus Tangkapan Narkoba, 4 Oknum Polisi Diamankan;non-clickbait;0
15 Tahun Jadi Guru Honorer, Bu Nining Tinggal di Toilet Sekolah;non-clickbait;0
Jokowi : Prabowo dan Sandi adalah Negarawan Sejati;non-clickbait;0
Protes Honor Pemilu, Ratusan Polisi Bakar Ban, Ruangan Polres Disegel;non-clickbait;0
Guru Besar USU : Wali Kota Gagal, Medan Jadi Kota Tak Layak Huni;non-clickbait;0
Gubsu Tempel Larangan Terima Parcel di depan Pagar Rumah Dinas;non-clickbait;0
Dinding Air Terjun Longsor, 3 Warga Marelan Sedang Berenang Tewas;non-clickbait;0
Selama 2019, Indonesia Import Ampas Makanan Senilai Rp16,1 Triliun;non-clickbait;0
Ledakan Tabung Gas Hanguskan Komplek Perumahan TNI 121 Kebun Lada;non-clickbait;0
Perempuan Bawa Anjing ke Masjid Resmi Tersangka Penodaan Agama;non-clickbait;0
Nasehat Sinshe Titipapan : Hindari Minum Kopi, Makan Daging dan Pergi Jauh;non-clickbait;0
